Occupation,Total_employed_2024,Women_2024,White_2024,Black_or_African_American_2024,Asian_2024,Hispanic_or_Latino_2024,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022,Total_employed_2021,Women_2021,White_2021,Black_or_African_American_2021,Asian_2021,Hispanic_or_Latino_2021,Total_employed_2020,Women_2020,White_2020,Black_or_African_American_2020,Asian_2020,Hispanic_or_Latino_2020
"Tax examiners and collectors, and revenue agents",45,–,–,–,–,–,71,60.8,78.5,14.9,4.5,11.8,71,57.9,83.5,9.8,5.8,15.0,440,52.2,78.7,12.8,3.7,12.0,400,54.4,79.0,13.1,4.7,12.4
Tax preparers,113,60.4,80.5,8.0,6.0,23.8,116,66.3,78.0,11.8,9.3,17.2,98,61.6,83.1,6.7,9.2,17.2,63,54.8,83.2,12.8,3.2,8.7,61,57.9,76.6,14.5,5.8,15.9
Other financial specialists,132,53.1,67.7,16.0,12.5,8.6,135,57.8,65.8,14.0,12.6,10.6,87,56.6,66.0,14.3,11.7,7.1,101,54.2,76.1,14.2,6.2,17.7,96,67.6,81.9,13.9,3.9,17.4
Professional and related occupations,"40,142",57.4,74.3,11.3,10.9,11.1,"39,731",56.5,74.8,11.3,10.7,10.8,"38,749",56.6,75.7,10.9,10.3,10.6,61,65.2,81.9,7.4,6.4,14.2,82,54.2,71.0,15.5,7.7,9.0
Computer and mathematical occupations,"6,386",26.4,64.2,9.6,23.3,8.3,"6,502",26.9,63.5,9.2,24.0,8.8,"6,171",26.7,65.1,9.1,22.3,8.6,"36,880",56.9,76.4,10.3,10.4,10.0,"36,502",57.0,76.5,10.5,10.1,10.1
Computer and information research scientists,36,–,–,–,–,–,44,–,–,–,–,–,41,–,–,–,–,–,"5,688",26.2,65.4,8.5,23.3,8.3,"5,603",25.2,65.4,9.1,23.0,8.4
Computer systems analysts,547,43.1,69.3,10.1,18.9,10.4,513,37.8,65.5,12.0,18.3,9.4,501,38.7,68.8,12.7,15.3,9.4,41,–,–,–,–,–,42,–,–,–,–,–
Information security analysts,243,18.9,74.5,18.1,5.9,10.3,231,19.3,79.3,11.1,7.9,12.6,178,18.0,76.6,11.6,7.7,11.9,464,37.5,70.0,11.3,16.0,11.0,594,35.6,68.0,9.7,18.7,8.1
Computer programmers,334,17.8,70.4,8.9,17.1,10.8,402,21.5,66.1,6.5,24.2,9.9,457,22.1,69.5,5.5,21.4,8.0,152,18.2,76.7,11.8,9.0,7.4,137,11.4,79.8,11.9,6.9,15.8
Software developers,"2,077",20.3,54.2,6.2,36.8,5.7,"2,134",20.2,54.6,6.5,36.2,6.0,"2,085",21.5,55.0,5.7,36.4,5.7,444,19.5,68.4,6.0,22.0,6.4,417,21.1,63.9,6.3,28.3,6.6
Software quality assurance analysts and testers,82,45.7,56.3,14.3,16.7,10.3,76,44.1,57.0,10.4,27.3,5.2,83,33.0,67.1,8.0,23.9,12.1,"1,932",19.7,54.7,5.4,37.1,5.8,"1,883",19.4,57.5,6.2,34.1,5.9
Web developers,54,30.8,82.1,2.8,8.9,9.5,76,19.4,84.2,1.2,9.2,20.4,79,21.9,80.2,0.8,10.2,20.4,74,46.5,55.9,14.1,27.6,5.7,82,25.1,57.6,12.0,29.6,9.2
Web and digital interface designers,96,47.5,81.6,5.8,12.6,6.4,79,42.7,82.9,3.6,7.9,5.4,89,44.5,79.1,7.2,9.1,9.0,81,38.7,84.7,4.6,7.5,8.6,104,27.8,79.3,3.7,16.2,5.9
Computer support specialists,633,26.9,67.4,13.7,15.1,8.5,687,26.2,67.0,13.2,15.0,9.7,704,25.8,71.2,11.3,12.5,12.9,64,51.1,87.4,5.0,6.6,9.6,70,44.8,81.7,5.9,9.9,15.8
Database administrators and architects,148,28.9,65.9,6.8,26.8,3.4,122,30.8,58.8,10.6,29.3,2.1,137,38.8,65.3,7.5,23.6,6.8,660,23.8,72.1,10.5,14.5,11.7,660,25.9,72.2,13.0,10.7,11.6
Network and computer systems administrators,154,17.1,77.8,8.2,9.8,15.3,202,16.7,73.2,8.6,14.7,11.6,217,19.8,75.1,9.5,11.9,9.1,111,35.0,73.1,5.1,20.0,6.3,121,28.8,62.1,5.9,30.1,5.6
Computer network architects,139,7.1,64.6,14.3,19.5,8.5,104,7.7,73.7,10.9,10.7,15.5,98,8.6,65.9,16.9,11.6,8.2,212,17.2,72.6,10.4,12.9,8.1,238,19.8,77.3,9.0,11.8,7.8
"Computer occupations, all other","1,188",24.4,66.9,12.5,18.4,10.1,"1,197",26.0,66.0,12.4,18.5,11.8,969,26.0,67.9,14.7,14.0,11.1,102,11.8,72.0,6.5,18.3,9.1,107,9.3,67.8,14.8,15.5,16.1
Actuaries,36,–,–,–,–,–,43,–,–,–,–,–,30,–,–,–,–,–,889,27.2,70.4,11.9,15.0,11.5,792,28.0,67.3,13.3,15.8,11.2
Mathematicians,5,–,–,–,–,–,5,–,–,–,–,–,4,–,–,–,–,–,29,–,–,–,–,–,32,–,–,–,–,–
Operations research analysts,176,48.6,69.6,10.7,14.9,10.2,138,55.0,68.0,16.1,13.0,8.7,135,51.6,68.7,17.6,9.2,11.3,0,–,–,–,–,–,3,–,–,–,–,–
Statisticians,70,41.1,73.9,10.9,13.3,4.5,46,–,–,–,–,–,51,48.2,56.9,6.4,35.3,2.7,141,51.0,71.0,14.9,10.7,10.1,156,42.9,77.5,13.6,8.6,9.5
Other mathematical science occupations,369,40.9,68.1,9.7,19.8,9.7,402,50.7,63.8,7.4,24.4,8.8,314,43.0,74.1,5.7,17.5,7.0,45,–,–,–,–,–,61,50.3,60.4,7.9,28.0,2.0
Architecture and engineering occupations,"3,552",17.2,76.8,7.3,13.1,10.5,"3,602",16.7,78.0,6.1,13.1,10.1,"3,464",16.1,77.3,6.6,13.9,10.3,245,49.2,64.1,12.3,21.6,7.9,103,37.8,63.6,9.3,25.7,6.2
"Architects, except landscape and naval",209,27.4,79.2,6.0,9.6,10.4,203,31.0,83.6,3.5,10.1,11.3,182,29.8,87.7,4.6,7.0,8.3,"3,235",17.4,77.0,5.8,14.6,9.9,"3,169",16.5,78.0,6.0,13.6,10.6
Landscape architects,18,–,–,–,–,–,28,–,–,–,–,–,32,–,–,–,–,–,212,31.6,79.9,4.6,13.3,6.5,190,28.2,78.8,7.2,12.5,8.5
"Surveyors, cartographers, and photogrammetrists",48,–,–,–,–,–,44,–,–,–,–,–,43,–,–,–,–,–,27,–,–,–,–,–,27,–,–,–,–,–
Aerospace engineers,182,10.5,78.1,9.4,9.5,5.2,166,15.2,75.8,8.6,12.7,3.6,173,17.4,80.9,3.8,12.4,9.6,41,–,–,–,–,–,45,–,–,–,–,–
Agricultural engineers,2,–,–,–,–,–,4,–,–,–,–,–,4,–,–,–,–,–,129,14.3,76.0,7.9,14.7,13.5,129,11.6,83.3,6.8,9.1,10.5
Bioengineers and biomedical engineers,25,–,–,–,–,–,26,–,–,–,–,–,24,–,–,–,–,–,8,–,–,–,–,–,7,–,–,–,–,–
Chemical engineers,79,20.8,83.2,2.0,12.0,4.6,83,21.6,80.2,5.0,10.6,6.1,75,27.9,70.2,7.8,13.5,7.3,15,–,–,–,–,–,22,–,–,–,–,–
Civil engineers,523,17.2,79.7,7.1,10.4,13.0,517,16.9,78.2,7.2,12.7,11.4,482,17.1,76.1,6.5,15.8,12.2,75,12.8,84.5,1.3,13.0,9.3,70,19.4,81.5,1.5,13.9,10.0
Computer hardware engineers,85,14.3,60.2,6.7,30.3,8.8,71,5.9,60.2,4.9,29.6,8.0,90,15.7,53.9,9.3,34.1,7.0,431,17.4,78.8,6.6,12.8,10.7,422,16.0,81.9,3.9,13.6,12.4
Electrical and electronics engineers,266,12.7,68.6,5.8,24.3,9.2,250,11.6,73.9,7.7,17.4,10.1,296,8.1,71.4,6.0,21.5,5.8,88,13.4,56.2,5.9,36.4,7.2,89,18.4,54.6,5.4,39.2,14.5
Environmental engineers,33,–,–,–,–,–,38,–,–,–,–,–,47,–,–,–,–,–,299,7.1,74.6,4.4,19.1,10.2,268,11.8,76.1,5.4,17.2,8.9
"Industrial engineers, including health and safety",268,24.1,73.2,6.7,17.0,11.8,298,24.6,78.4,6.1,12.6,10.3,221,25.0,73.5,7.1,16.8,6.1,33,–,–,–,–,–,33,–,–,–,–,–
Marine engineers and naval architects,20,–,–,–,–,–,16,–,–,–,–,–,8,–,–,–,–,–,216,26.0,75.8,5.1,16.2,5.1,225,23.4,74.7,5.2,19.1,5.9
Materials engineers,48,–,–,–,–,–,54,13.5,80.9,0.0,16.6,12.8,48,–,–,–,–,–,12,–,–,–,–,–,16,–,–,–,–,–
Mechanical engineers,389,11.4,80.9,7.0,9.8,7.1,433,10.1,78.9,6.2,12.8,9.5,403,8.5,79.4,3.6,14.9,11.9,43,–,–,–,–,–,53,25.5,83.5,5.3,9.4,7.1
"Mining and geological engineers, including mining safety engineers",7,–,–,–,–,–,10,–,–,–,–,–,3,–,–,–,–,–,354,9.4,78.0,4.6,13.7,8.9,357,8.7,80.4,5.0,11.5,6.7
Nuclear engineers,7,–,–,–,–,–,3,–,–,–,–,–,11,–,–,–,–,–,8,–,–,–,–,–,17,–,–,–,–,–
Petroleum engineers,23,–,–,–,–,–,12,–,–,–,–,–,18,–,–,–,–,–,11,–,–,–,–,–,10,–,–,–,–,–
"Engineers, all other",697,15.9,72.4,7.2,18.3,8.9,669,15.4,72.4,5.9,18.2,9.9,631,14.9,74.7,7.1,15.2,8.9,16,–,–,–,–,–,15,–,–,–,–,–
Architectural and civil drafters,38,–,–,–,–,–,33,–,–,–,–,–,46,–,–,–,–,–,666,16.3,71.9,5.1,19.9,9.6,560,15.3,72.3,7.5,17.7,10.0
Other drafters,92,20.7,90.0,2.0,6.8,13.7,98,20.5,88.6,3.2,8.2,8.9,80,15.3,88.2,5.1,6.7,12.6,32,–,–,–,–,–,38,–,–,–,–,–
Electrical and electronic engineering technologists and technicians,85,3.4,76.6,15.2,5.7,17.9,97,11.6,88.4,2.4,8.8,17.7,90,9.3,74.6,12.6,8.1,17.3,93,24.3,89.5,2.9,6.7,10.8,95,18.8,90.4,1.8,6.6,22.9
"Other engineering technologists and technicians, except drafters",355,21.3,76.5,12.7,6.1,16.8,366,17.3,78.0,8.5,7.8,13.5,374,15.0,76.6,11.0,10.1,13.7,74,10.9,75.2,11.4,8.5,9.4,82,3.2,79.5,8.8,7.1,15.4
Surveying and mapping technicians,53,22.1,89.5,3.7,5.1,9.2,87,12.0,94.8,2.3,1.5,8.7,83,11.3,89.2,8.5,0.0,11.5,293,21.3,81.5,9.6,5.3,14.9,344,19.1,76.5,9.0,8.7,16.4
"Life, physical, and social science occupations","1,877",50.7,72.6,8.4,15.0,9.7,"1,870",49.8,71.8,8.2,16.5,9.9,"1,840",48.2,73.3,6.1,17.1,8.2,57,12.6,88.7,6.0,2.1,17.3,56,9.9,89.6,3.2,3.0,6.3
Agricultural and food scientists,23,–,–,–,–,–,29,–,–,–,–,–,19,–,–,–,–,–,"1,640",47.4,74.6,7.4,15.2,8.3,"1,627",49.3,75.1,6.5,14.9,8.5
Biological scientists,105,54.7,80.8,3.3,10.7,5.4,118,55.0,84.6,3.1,9.8,5.4,110,57.9,80.4,5.7,11.8,3.5,32,–,–,–,–,–,32,–,–,–,–,–
Conservation scientists and foresters,24,–,–,–,–,–,32,–,–,–,–,–,29,–,–,–,–,–,94,48.1,71.1,12.1,14.4,2.4,84,46.0,79.8,5.6,13.7,10.1
Medical scientists,127,54.0,55.3,10.0,30.3,10.3,130,51.8,49.2,8.3,41.1,9.4,147,46.5,47.6,9.3,41.1,4.2,22,–,–,–,–,–,19,–,–,–,–,–
"Life scientists, all other",6,–,–,–,–,–,8,–,–,–,–,–,13,–,–,–,–,–,121,49.6,48.0,7.2,43.1,4.5,112,52.4,58.7,3.8,37.4,4.7
Astronomers and physicists,23,–,–,–,–,–,25,–,–,–,–,–,26,–,–,–,–,–,8,–,–,–,–,–,6,–,–,–,–,–
Atmospheric and space scientists,8,–,–,–,–,–,15,–,–,–,–,–,12,–,–,–,–,–,22,–,–,–,–,–,19,–,–,–,–,–
Chemists and materials scientists,87,46.3,74.8,7.0,16.6,11.4,93,36.0,64.7,3.0,24.1,10.0,78,46.3,67.5,8.3,21.8,9.1,11,–,–,–,–,–,10,–,–,–,–,–
"Environmental scientists and specialists, including health",51,54.7,79.0,0.0,7.9,10.3,46,–,–,–,–,–,33,–,–,–,–,–,94,32.1,70.2,8.0,21.5,6.1,80,40.4,64.2,10.7,19.7,2.2
"Geoscientists and hydrologists, except geographers",37,–,–,–,–,–,33,–,–,–,–,–,43,–,–,–,–,–,40,–,–,–,–,–,46,–,–,–,–,–
"Physical scientists, all other",474,46.9,62.4,7.6,26.6,7.4,441,43.1,58.8,9.2,29.7,7.5,442,43.0,62.6,5.0,29.4,6.4,42,–,–,–,–,–,37,–,–,–,–,–
Economists,28,–,–,–,–,–,28,–,–,–,–,–,29,–,–,–,–,–,370,41.2,63.8,6.9,27.3,6.5,336,43.3,61.3,6.4,30.1,6.2
Survey researchers,1,–,–,–,–,–,2,–,–,–,–,–,2,–,–,–,–,–,21,–,–,–,–,–,26,–,–,–,–,–
Clinical and counseling psychologists,16,–,–,–,–,–,19,–,–,–,–,–,13,–,–,–,–,–,1,–,–,–,–,–,5,–,–,–,–,–
School psychologists,52,84.4,87.0,7.8,1.6,5.1,56,87.9,91.2,5.7,0.0,4.5,48,–,–,–,–,–,13,–,–,–,–,–,18,–,–,–,–,–
Other psychologists,163,70.7,85.8,8.2,5.7,8.9,153,78.4,85.5,7.4,4.1,10.7,154,75.0,87.3,5.8,3.2,8.1,58,90.4,92.4,7.6,0.0,19.4,43,–,–,–,–,–
Sociologists,4,–,–,–,–,–,4,–,–,–,–,–,3,–,–,–,–,–,149,74.9,84.6,5.6,5.4,6.4,145,80.3,82.7,11.8,4.1,3.5
Urban and regional planners,45,–,–,–,–,–,37,–,–,–,–,–,35,–,–,–,–,–,2,–,–,–,–,–,3,–,–,–,–,–
Miscellaneous social scientists and related workers,38,–,–,–,–,–,55,53.9,91.4,3.0,4.6,6.9,57,51.9,86.4,1.9,8.2,4.9,28,–,–,–,–,–,47,–,–,–,–,–
Agricultural and food science technicians,52,34.8,86.0,6.2,4.7,17.2,48,–,–,–,–,–,42,–,–,–,–,–,54,53.5,84.8,5.2,2.2,5.4,50,47.7,83.4,1.9,5.5,7.8
Biological technicians,21,–,–,–,–,–,32,–,–,–,–,–,24,–,–,–,–,–,30,–,–,–,–,–,41,–,–,–,–,–
Chemical technicians,57,33.3,76.0,18.4,4.7,19.9,63,35.0,90.1,6.0,3.9,31.9,51,35.1,82.7,3.8,9.7,20.1,18,–,–,–,–,–,24,–,–,–,–,–
Environmental science and geoscience technicians,18,–,–,–,–,–,18,–,–,–,–,–,15,–,–,–,–,–,48,–,–,–,–,–,68,42.6,82.5,10.3,5.0,12.1
