Occupation,Total_employed_2024,Women_2024,White_2024,Black_or_African_American_2024,Asian_2024,Hispanic_or_Latino_2024,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022,Total_employed_2021,Women_2021,White_2021,Black_or_African_American_2021,Asian_2021,Hispanic_or_Latino_2021,Total_employed_2020,Women_2020,White_2020,Black_or_African_American_2020,Asian_2020,Hispanic_or_Latino_2020
Lodging managers,129,53.9,75.6,11.6,7.7,14.4,141,61.6,72.3,10.2,13.3,9.8,113,46.7,75.4,6.6,12.9,8.4,43,–,–,–,–,–,40,–,–,–,–,–
Medical and health services managers,824,73.9,76.4,14.2,5.1,14.1,838,71.8,75.7,14.2,5.7,10.7,797,71.6,74.6,16.0,7.3,9.0,116,47.6,75.1,10.3,12.5,14.1,123,56.0,74.8,12.4,10.4,11.2
Natural sciences managers,53,66.7,75.1,9.5,11.2,2.4,39,–,–,–,–,–,28,–,–,–,–,–,791,75.0,76.1,14.1,7.0,10.5,711,70.3,77.6,13.3,5.6,11.5
Postmasters and mail superintendents,23,–,–,–,–,–,19,–,–,–,–,–,26,–,–,–,–,–,21,–,–,–,–,–,16,–,–,–,–,–
"Property, real estate, and community association managers",790,47.0,79.6,10.7,6.6,13.8,880,51.7,80.8,10.4,5.5,12.6,835,50.3,83.1,9.9,4.3,11.0,16,–,–,–,–,–,24,–,–,–,–,–
Social and community service managers,493,72.8,77.2,14.8,4.0,10.4,486,71.7,73.6,17.5,3.5,11.2,434,70.7,78.1,12.7,4.7,12.8,780,50.7,83.2,10.3,4.0,11.4,781,48.5,84.7,8.6,3.5,12.9
Emergency management directors,18,–,–,–,–,–,12,–,–,–,–,–,22,–,–,–,–,–,391,68.6,74.6,17.9,4.0,13.7,424,72.5,75.9,18.3,2.1,10.3
"Personal service managers, all other",11,–,–,–,–,–,16,–,–,–,–,–,6,–,–,–,–,–,13,–,–,–,–,–,12,–,–,–,–,–
"Managers, all other","5,591",38.7,80.1,9.3,7.5,13.2,"5,666",37.5,80.7,9.2,7.1,13.1,"5,557",36.1,80.9,8.9,7.0,12.5,1,–,–,–,–,–,2,–,–,–,–,–
Business and financial operations occupations,"9,945",53.8,77.3,10.8,8.4,10.9,"9,638",54.0,77.1,11.0,8.6,11.2,"9,152",54.5,77.9,10.2,8.9,11.0,"5,235",36.4,82.1,8.6,6.5,11.5,"4,969",37.5,83.2,8.1,5.9,10.4
"Agents and business managers of artists, performers, and athletes",42,–,–,–,–,–,50,43.3,77.4,10.9,7.2,18.5,39,–,–,–,–,–,"8,878",54.8,78.0,10.5,8.6,10.3,"8,578",53.9,78.0,10.5,8.7,11.2
"Buyers and purchasing agents, farm products",9,–,–,–,–,–,13,–,–,–,–,–,4,–,–,–,–,–,40,–,–,–,–,–,36,–,–,–,–,–
"Wholesale and retail buyers, except farm products",171,46.9,83.6,5.8,5.6,13.4,225,57.6,77.6,8.0,6.8,23.3,179,55.2,85.2,6.8,3.4,15.2,11,–,–,–,–,–,10,–,–,–,–,–
"Purchasing agents, except wholesale, retail, and farm products",278,47.6,78.2,10.6,7.5,9.1,319,51.9,78.2,11.7,6.4,9.1,266,55.7,82.3,7.2,7.4,7.9,159,55.1,82.3,9.4,4.2,15.9,178,52.7,82.8,9.7,5.8,14.9
"Claims adjusters, appraisers, examiners, and investigators",382,57.1,72.8,20.9,4.3,10.0,362,55.2,77.3,18.1,2.3,10.4,365,56.8,75.2,16.0,5.7,13.2,223,62.2,81.0,10.3,5.3,13.4,230,52.0,81.1,11.9,3.9,11.3
Compliance officers,311,55.0,76.4,14.4,5.5,12.5,333,51.8,78.9,12.5,4.2,14.5,294,56.8,76.5,13.7,5.6,16.5,330,58.2,74.4,16.7,4.3,14.6,350,60.4,71.6,19.8,4.5,15.0
Cost estimators,148,20.0,92.2,1.3,2.6,13.8,148,17.7,96.2,0.3,1.9,7.6,140,15.9,91.9,1.1,4.2,9.0,291,53.2,76.2,14.4,4.2,13.2,305,57.1,75.4,12.0,7.5,8.6
Human resources workers,944,75.5,76.6,14.3,4.9,15.2,980,76.5,74.9,14.7,6.0,16.7,936,77.2,77.0,14.0,6.2,16.2,127,15.5,87.9,3.8,4.8,10.8,121,15.0,93.7,2.9,2.0,14.1
"Compensation, benefits, and job analysis specialists",46,–,–,–,–,–,65,78.2,78.6,7.7,10.5,19.0,65,64.5,52.1,32.0,9.4,16.3,871,75.2,76.6,13.8,6.2,12.4,832,74.3,76.9,13.0,5.8,15.1
Training and development specialists,155,57.1,79.2,14.1,1.8,13.7,138,56.7,80.7,14.1,3.5,12.5,157,54.9,78.7,13.2,4.9,13.1,67,71.2,70.6,19.6,7.1,12.7,74,76.0,84.6,11.2,2.2,9.7
Logisticians,193,36.1,66.4,22.0,6.5,14.1,197,38.7,67.5,22.2,6.6,16.1,169,43.7,74.0,18.0,5.4,16.3,166,52.9,77.4,14.1,4.2,10.9,115,57.1,82.1,13.2,2.7,14.1
Project management specialists,966,47.2,78.7,9.6,9.4,8.2,935,47.3,77.0,9.6,10.1,7.8,841,42.2,78.3,9.0,9.3,7.7,132,39.3,80.3,13.4,4.9,10.2,147,38.1,82.6,11.8,4.4,20.6
Management analysts,"1,099",40.9,77.2,8.4,10.9,8.8,"1,060",46.6,78.5,6.9,11.7,6.9,"1,045",48.2,76.2,8.5,12.6,6.5,769,42.9,80.4,8.0,9.6,8.0,715,44.4,77.5,12.3,7.9,11.1
"Meeting, convention, and event planners",145,75.3,84.0,8.0,5.5,11.6,169,69.2,77.7,11.8,7.1,17.5,159,74.5,78.9,14.0,3.7,12.5,"1,001",45.5,79.2,8.0,10.8,7.2,997,42.7,77.8,8.4,11.9,9.3
Fundraisers,76,66.9,87.3,8.9,3.2,7.1,102,74.9,88.9,4.8,3.1,8.4,76,82.9,91.8,0.3,3.9,9.3,116,82.1,83.4,9.9,3.6,6.1,118,73.7,85.8,7.7,4.8,11.9
Market research analysts and marketing specialists,632,65.9,76.8,7.8,10.7,10.0,511,61.7,78.9,7.3,10.3,10.8,455,57.9,79.6,5.8,11.1,9.9,93,73.3,89.0,3.7,7.2,5.2,99,74.8,85.0,3.7,8.4,7.4
"Business operations specialists, all other",717,61.2,76.7,11.7,6.5,13.6,531,57.7,73.3,12.7,7.7,14.1,409,59.8,78.6,10.9,7.0,12.4,400,63.6,83.1,4.4,9.7,10.7,438,58.6,82.8,6.5,8.1,9.1
Accountants and auditors,"1,778",57.2,75.6,9.8,11.8,11.1,"1,624",57.0,73.4,11.9,12.7,8.5,"1,652",58.8,76.1,9.7,11.7,9.7,584,59.2,74.1,13.5,8.6,10.7,308,57.3,72.6,12.4,11.3,9.7
Property appraisers and assessors,80,40.1,94.1,0.0,3.0,7.4,97,34.2,94.7,0.6,4.1,11.9,100,45.5,92.4,4.2,2.7,7.8,"1,630",62.0,76.3,9.8,11.8,9.8,"1,696",59.7,77.3,9.5,11.2,10.2
Budget analysts,49,–,–,–,–,–,40,–,–,–,–,–,48,–,–,–,–,–,80,30.4,97.7,1.1,1.0,4.3,86,29.7,96.5,2.3,1.2,6.0
Credit analysts,40,–,–,–,–,–,44,–,–,–,–,–,51,46.3,72.8,6.9,11.3,9.3,61,55.6,66.0,17.7,5.7,10.7,60,53.2,69.6,13.9,7.6,14.9
Financial and investment analysts,406,42.7,70.7,11.4,14.9,7.8,395,43.9,70.6,13.8,11.7,8.3,387,40.2,74.7,8.0,14.2,12.2,38,–,–,–,–,–,30,–,–,–,–,–
Personal financial advisors,528,33.8,84.3,5.8,7.6,7.2,506,32.6,86.0,6.4,6.3,8.6,543,35.1,82.7,6.3,9.5,8.4,343,40.2,64.4,13.1,20.7,10.7,351,41.6,68.5,7.8,21.0,10.2
Insurance underwriters,124,61.9,78.1,14.6,5.4,8.8,108,56.9,77.3,15.6,5.8,10.7,105,65.6,83.5,13.2,2.3,13.0,535,33.8,82.2,7.3,7.5,7.7,514,34.0,78.5,7.9,10.7,8.2
Financial examiners,23,–,–,–,–,–,21,–,–,–,–,–,19,–,–,–,–,–,128,61.4,76.8,12.0,7.0,9.1,102,58.0,78.6,9.3,6.2,11.9
Credit counselors and loan officers,313,52.8,83.5,10.3,2.3,10.7,343,51.6,81.5,10.6,5.6,16.4,391,54.8,77.2,12.2,6.1,13.2,16,–,–,–,–,–,25,–,–,–,–,–
