Occupation,Number_of_workers_2024,Median_weekly_earnings_2024,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022,Number_of_workers_2021,Median_weekly_earnings_2021,Number_of_workers_2020,Median_weekly_earnings_2020
"Counselors, all other",178,"1,151",182,"1,070",168,"1,038",181,953,132,956
"Child, family, and school social workers",68,"1,019",64,"1,064",58,"1,099",58,"1,012",58,894
Healthcare social workers,70,"1,173",68,"1,028",78,"1,142",71,924,70,"1,152"
Mental health and substance abuse social workers,9,–,11,–,17,–,7,–,19,–
"Social workers, all other",702,"1,227",654,"1,233",660,"1,130",601,"1,073",593,985
Probation officers and correctional treatment specialists,65,"1,218",79,"1,196",78,"1,325",87,"1,247",111,"1,058"
Social and human service assistants,206,"1,034",200,963,192,979,160,914,168,841
Other community and social service specialists,90,"1,134",82,"1,045",85,"1,032",88,"1,111",83,"1,034"
Clergy,332,"1,155",308,"1,084",347,"1,170",339,"1,135",353,"1,055"
"Directors, religious activities and education",58,"1,161",58,"1,244",49,–,45,–,36,–
"Religious workers, all other",47,–,37,–,37,–,60,937,38,–
Legal occupations,"1,434","1,904","1,490","1,880","1,430","1,763","1,401","1,586","1,410","1,540"
Lawyers,851,"2,505",887,"2,438",806,"2,420",793,"2,252",821,"2,097"
Judicial law clerks,18,–,13,–,21,–,18,–,15,–
"Judges, magistrates, and other judicial workers",51,"2,307",66,"2,196",61,"1,997",68,"1,652",60,"1,856"
Paralegals and legal assistants,380,"1,189",371,"1,159",388,"1,137",361,"1,080",343,942
"Title examiners, abstractors, and searchers",75,"1,314",83,"1,143",93,"1,208",89,"1,120",101,"1,136"
"Legal support workers, all other",60,"1,428",70,"1,320",62,"1,223",72,"1,238",71,"1,042"
"Education, training, and library occupations","7,540","1,217","7,524","1,180","7,330","1,148","7,124","1,138","7,012","1,096"
Postsecondary teachers,874,"1,821",828,"1,723",863,"1,634",920,"1,550",891,"1,516"
Preschool and kindergarten teachers,468,831,523,791,518,750,471,780,412,721
Elementary and middle school teachers,"3,268","1,253","3,117","1,243","3,073","1,170","3,000","1,163","3,064","1,118"
Secondary school teachers,824,"1,365",859,"1,271",873,"1,249",860,"1,216",914,"1,199"
Special education teachers,273,"1,170",308,"1,164",342,"1,219",338,"1,126",301,"1,044"
Tutors,30,–,28,–,25,–,12,–,42,–
Other teachers and instructors,553,"1,157",584,"1,165",447,"1,143",389,"1,118",376,"1,061"
"Archivists, curators, and museum technicians",55,"1,293",57,"1,289",51,"1,253",42,–,46,–
Librarians and media collections specialists,145,"1,109",117,"1,118",125,"1,092",144,"1,131",120,"1,073"
Library technicians,17,–,15,–,23,–,20,–,17,–
Teaching assistants,893,725,940,698,869,662,803,641,714,617
Other educational instruction and library workers,141,"1,261",148,"1,310",121,"1,250",127,"1,271",116,"1,145"
"Arts, design, entertainment, sports, and media occupations","1,827","1,413","1,858","1,343","1,889","1,273","1,707","1,229","1,681","1,179"
Artists and related workers,91,"1,483",94,"1,543",116,"1,427",87,"1,355",87,"1,116"
Commercial and industrial designers,11,–,13,–,9,–,10,–,6,–
Fashion designers,26,–,25,–,16,–,22,–,24,–
Floral designers,18,–,25,–,22,–,35,–,38,–
Graphic designers,192,"1,305",248,"1,253",224,"1,153",180,"1,163",209,"1,230"
Interior designers,64,"1,224",50,"1,256",64,"1,332",45,–,74,"1,107"
Merchandise displayers and window trimmers,37,–,18,–,22,–,17,–,22,–
Other designers,303,"1,568",272,"1,482",282,"1,431",284,"1,402",271,"1,210"
Actors,20,–,17,–,17,–,11,–,10,–
Producers and directors,129,"1,760",130,"1,467",137,"1,473",139,"1,369",123,"1,499"
Athletes and sports competitors,12,–,28,–,38,–,21,–,21,–
Coaches and scouts,122,"1,039",113,"1,168",132,"1,156",110,913,90,931
"Umpires, referees, and other sports officials",4,–,2,–,4,–,2,–,9,–
Dancers and choreographers,5,–,5,–,6,–,3,–,4,–
Music directors and composers,16,–,18,–,9,–,15,–,16,–
Musicians and singers,20,–,36,–,31,–,13,–,12,–
"Disc jockeys, except radio",10,–,12,–,4,–,3,–,1,–
"Entertainers and performers, sports and related workers, all other",13,–,6,–,19,–,9,–,7,–
Broadcast announcers and radio disc jockeys,19,–,20,–,18,–,12,–,18,–
"News analysts, reporters, and journalists",58,"1,420",46,–,57,"1,163",55,"1,036",62,"1,044"
Public relations specialists,96,"1,878",126,"1,544",105,"1,492",113,"1,641",128,"1,553"
Editors,87,"1,347",82,"1,440",68,"1,541",63,"1,350",57,"1,237"
Technical writers,59,"1,643",46,–,50,"1,528",62,"1,540",53,"1,347"
Writers and authors,113,"1,618",101,"1,322",152,"1,426",131,"1,239",98,"1,257"
Interpreters and translators,49,–,55,964,52,856,52,993,44,–
Court reporters and simultaneous captioners,22,–,12,–,26,–,12,–,21,–
"Media and communication workers, all other",22,–,22,–,25,–,23,–,14,–
"Broadcast, sound, and lighting technicians",78,"1,507",80,"1,387",61,"1,478",54,"1,370",53,"1,001"
Photographers,65,"1,255",62,"1,135",50,"1,039",59,858,66,990
"Television, video, and film camera operators and editors",65,"1,728",93,"1,259",73,"1,384",63,"1,051",40,–
"Media and communication equipment workers, all other",1,–,2,–,1,–,3,–,3,–
Healthcare practitioners and technical occupations,"7,965","1,472","7,795","1,404","7,761","1,354","7,485","1,273","7,504","1,227"
Chiropractors,18,–,13,–,17,–,21,–,9,–
Dentists,70,"2,281",64,"2,837",57,"2,703",76,"2,492",58,"2,079"
Dietitians and nutritionists,86,"1,350",84,"1,137",105,"1,289",88,"1,184",83,"1,009"
Optometrists,7,–,16,–,19,–,21,–,21,–
Pharmacists,258,"2,477",316,"2,208",300,"2,210",245,"2,019",241,"2,222"
Emergency medicine physicians,18,–,21,–,16,–,21,–,10,–
Radiologists,19,–,18,–,20,–,21,–,20,–
Other physicians,724,"3,429",715,"2,914",758,"2,481",714,"2,418",752,"2,102"
Surgeons,35,–,52,"3,300",42,–,45,–,48,–
Physician assistants,159,"2,333",137,"2,006",132,"1,910",126,"1,884",113,"1,911"
Podiatrists,4,–,3,–,5,–,3,–,5,–
Audiologists,23,–,14,–,13,–,17,–,13,–
Occupational therapists,110,"1,633",116,"1,447",118,"1,324",107,"1,467",96,"1,373"
Physical therapists,217,"1,584",234,"1,607",212,"1,510",203,"1,527",209,"1,468"
Radiation therapists,9,–,15,–,19,–,14,–,11,–
Recreational therapists,6,–,7,–,15,–,11,–,11,–
Respiratory therapists,66,"1,420",78,"1,371",94,"1,344",104,"1,262",100,"1,162"
Speech-language pathologists,156,"1,525",140,"1,433",137,"1,317",132,"1,233",152,"1,297"
Exercise physiologists,3,–,6,–,7,–,1,–,5,–
"Therapists, all other",227,"1,265",178,"1,257",151,"1,305",137,"1,147",159,"1,043"
Veterinarians,67,"2,503",53,"2,020",40,–,67,"1,797",55,"1,795"
Registered nurses,"2,895","1,507","2,817","1,442","2,753","1,395","2,615","1,305","2,701","1,262"
Nurse anesthetists,19,–,14,–,31,–,25,–,30,–
Nurse midwives,11,–,3,–,5,–,6,–,7,–
Nurse practitioners,225,"2,183",212,"2,079",224,"2,107",188,"1,955",171,"1,872"
Acupuncturists,1,–,3,–,1,–,3,–,7,–
"Healthcare diagnosing or treating practitioners, all other",6,–,4,–,4,–,0,–,1,–
Clinical laboratory technologists and technicians,287,"1,228",251,"1,117",289,"1,058",322,992,289,"1,028"
Dental hygienists,107,"1,438",106,"1,326",110,"1,257",97,"1,269",96,"1,125"
Cardiovascular technologists and technicians,55,"1,411",33,–,46,–,46,–,37,–
Diagnostic medical sonographers,75,"1,558",87,"1,343",76,"1,351",61,"1,462",73,"1,227"
Radiologic technologists and technicians,197,"1,318",204,"1,412",171,"1,194",201,"1,167",222,"1,103"
Magnetic resonance imaging technologists,32,–,41,–,47,–,27,–,45,–
Nuclear medicine technologists and medical dosimetrists,42,–,35,–,25,–,31,–,39,–
Emergency medical technicians,140,982,119,"1,101",126,972,110,883,134,844
Paramedics,81,"1,548",102,"1,318",107,"1,535",97,"1,288",65,"1,163"
Pharmacy technicians,253,888,244,903,266,771,268,800,257,723
Psychiatric technicians,95,768,99,885,60,831,54,749,53,658
