Occupation,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022
Cutting workers,56,31.1,74.5,16.5,5.2,30.2,57,28.0,67.8,24.3,3.7,22.5
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",14,–,–,–,–,–,12,–,–,–,–,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,–,–,–,–,–,10,–,–,–,–,–
"Inspectors, testers, sorters, samplers, and weighers",793,39.0,74.5,13.5,6.9,17.8,781,38.6,74.4,13.7,8.0,18.8
Jewelers and precious stone and metal workers,58,46.0,77.8,4.9,10.8,29.3,65,47.2,76.4,3.8,12.6,23.8
Dental and ophthalmic laboratory technicians and medical appliance technicians,76,58.9,85.0,3.8,8.7,17.4,95,43.3,77.9,12.0,9.2,23.3
Packaging and filling machine operators and tenders,301,57.3,67.4,24.5,4.6,48.4,304,52.5,66.8,23.8,4.7,41.6
Painting workers,142,11.3,80.4,13.8,2.7,36.2,173,14.5,84.0,10.2,0.9,40.0
Photographic process workers and processing machine operators,30,–,–,–,–,–,14,–,–,–,–,–
Adhesive bonding machine operators and tenders,10,–,–,–,–,–,4,–,–,–,–,–
Etchers and engravers,8,–,–,–,–,–,2,–,–,–,–,–
"Molders, shapers, and casters, except metal and plastic",32,–,–,–,–,–,24,–,–,–,–,–
"Paper goods machine setters, operators, and tenders",15,–,–,–,–,–,20,–,–,–,–,–
Tire builders,9,–,–,–,–,–,9,–,–,–,–,–
Helpers--production workers,68,44.4,83.5,11.2,3.3,30.9,65,31.0,70.2,16.5,4.8,25.9
Other production equipment operators and tenders,8,–,–,–,–,–,6,–,–,–,–,–
Other production workers,"1,280",28.8,75.1,16.8,4.1,28.1,"1,246",29.0,74.5,18.5,4.1,25.3
Transportation and material moving occupations,"11,706",21.4,71.1,20.1,4.4,24.8,"11,826",21.8,70.9,20.3,4.4,24.3
Supervisors of transportation and material moving workers,349,25.5,67.6,19.6,8.6,19.3,312,24.2,72.8,14.8,5.8,19.9
Aircraft pilots and flight engineers,211,8.3,92.4,3.6,2.7,10.7,187,9.2,95.7,2.6,1.6,9.7
Air traffic controllers and airfield operations specialists,39,–,–,–,–,–,35,–,–,–,–,–
Flight attendants,115,78.0,79.7,16.3,3.7,20.0,116,69.9,78.4,11.1,6.5,12.5
"Ambulance drivers and attendants, except emergency medical technicians",16,–,–,–,–,–,15,–,–,–,–,–
"Bus drivers, school",218,56.1,72.7,23.7,1.1,14.8,250,52.0,74.7,19.9,3.3,14.4
"Bus drivers, transit and intercity",284,37.2,61.4,32.5,3.1,19.4,245,39.7,57.5,36.6,2.9,12.2
Driver/sales workers and truck drivers,"3,551",6.9,72.4,20.5,3.5,24.1,"3,539",8.1,74.1,18.3,4.0,23.3
Shuttle drivers and chauffeurs,78,10.7,55.9,30.0,9.6,14.2,59,16.2,60.6,26.1,2.6,26.0
Taxi drivers,456,15.3,52.5,24.9,19.5,23.9,455,13.0,50.0,26.3,20.0,23.0
"Motor vehicle operators, all other",212,18.2,61.9,27.4,4.9,19.1,193,28.5,62.1,28.2,4.9,18.8
Locomotive engineers and operators,44,–,–,–,–,–,52,3.8,71.0,17.2,3.5,3.2
Railroad conductors and yardmasters,48,–,–,–,–,–,38,–,–,–,–,–
Other rail transportation workers,24,–,–,–,–,–,18,–,–,–,–,–
Sailors and marine oilers,17,–,–,–,–,–,25,–,–,–,–,–
Ship and boat captains and operators,42,–,–,–,–,–,41,–,–,–,–,–
Ship engineers,1,–,–,–,–,–,6,–,–,–,–,–
Parking attendants,61,13.5,66.6,22.6,9.3,41.8,68,14.6,63.2,26.2,9.3,30.1
Transportation service attendants,79,23.4,76.8,12.2,1.2,18.5,91,17.5,69.2,12.9,6.7,15.5
Transportation inspectors,35,–,–,–,–,–,44,–,–,–,–,–
Passenger attendants,26,–,–,–,–,–,21,–,–,–,–,–
Other transportation workers,36,–,–,–,–,–,47,–,–,–,–,–
Crane and tower operators,60,2.9,88.5,9.0,0.4,20.3,60,0.7,91.4,7.0,0.5,13.5
"Conveyor, dredge, and hoist and winch operators",37,–,–,–,–,–,29,–,–,–,–,–
Industrial truck and tractor operators,629,9.5,68.2,24.6,1.9,31.1,636,10.5,68.7,24.9,1.4,31.9
Cleaners of vehicles and equipment,401,20.4,73.2,19.7,3.3,33.5,350,18.9,73.5,19.5,2.4,36.4
"Laborers and freight, stock, and material movers, hand","2,090",24.2,72.2,19.3,2.7,27.1,"2,244",22.4,70.5,21.5,3.0,27.0
Machine feeders and offbearers,30,–,–,–,–,–,24,–,–,–,–,–
"Packers and packagers, hand",690,51.7,61.8,25.8,6.3,35.3,719,52.9,68.8,21.8,4.8,37.9
Stockers and order fillers,"1,640",36.5,74.7,15.5,4.8,23.6,"1,722",37.5,70.0,20.3,4.8,22.6
Pumping station operators,21,–,–,–,–,–,19,–,–,–,–,–
Refuse and recyclable material collectors,112,12.8,79.2,17.1,0.3,33.7,112,10.6,69.6,25.8,1.6,26.7
Other material moving workers,55,19.3,86.8,10.3,0.4,18.7,55,17.4,67.1,23.8,2.4,23.8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
