Occupation,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022
Technical writers,46,–,50,"1,528"
Writers and authors,101,"1,322",152,"1,426"
Interpreters and translators,55,964,52,856
Court reporters and simultaneous captioners,12,–,26,–
"Media and communication workers, all other",22,–,25,–
"Broadcast, sound, and lighting technicians",80,"1,387",61,"1,478"
Photographers,62,"1,135",50,"1,039"
"Television, video, and film camera operators and editors",93,"1,259",73,"1,384"
"Media and communication equipment workers, all other",2,–,1,–
Healthcare practitioners and technical occupations,"7,795","1,404","7,761","1,354"
Chiropractors,13,–,17,–
Dentists,64,"2,837",57,"2,703"
Dietitians and nutritionists,84,"1,137",105,"1,289"
Optometrists,16,–,19,–
Pharmacists,316,"2,208",300,"2,210"
Emergency medicine physicians,21,–,16,–
Radiologists,18,–,20,–
Other physicians,715,"2,914",758,"2,481"
Surgeons,52,"3,300",42,–
Physician assistants,137,"2,006",132,"1,910"
Podiatrists,3,–,5,–
Audiologists,14,–,13,–
Occupational therapists,116,"1,447",118,"1,324"
Physical therapists,234,"1,607",212,"1,510"
Radiation therapists,15,–,19,–
Recreational therapists,7,–,15,–
Respiratory therapists,78,"1,371",94,"1,344"
Speech-language pathologists,140,"1,433",137,"1,317"
Exercise physiologists,6,–,7,–
"Therapists, all other",178,"1,257",151,"1,305"
Veterinarians,53,"2,020",40,–
Registered nurses,"2,817","1,442","2,753","1,395"
Nurse anesthetists,14,–,31,–
Nurse midwives,3,–,5,–
Nurse practitioners,212,"2,079",224,"2,107"
Acupuncturists,3,–,1,–
"Healthcare diagnosing or treating practitioners, all other",4,–,4,–
Clinical laboratory technologists and technicians,251,"1,117",289,"1,058"
Dental hygienists,106,"1,326",110,"1,257"
Cardiovascular technologists and technicians,33,–,46,–
Diagnostic medical sonographers,87,"1,343",76,"1,351"
Radiologic technologists and technicians,204,"1,412",171,"1,194"
Magnetic resonance imaging technologists,41,–,47,–
Nuclear medicine technologists and medical dosimetrists,35,–,25,–
Emergency medical technicians,119,"1,101",126,972
Paramedics,102,"1,318",107,"1,535"
Pharmacy technicians,244,903,266,771
Psychiatric technicians,99,885,60,831
Surgical technologists,95,"1,244",85,"1,197"
Veterinary technologists and technicians,99,829,120,800
Dietetic technicians and ophthalmic medical technicians,46,–,55,711
Licensed practical and licensed vocational nurses,479,988,494,897
Medical records specialists,184,918,161,988
"Opticians, dispensing",37,–,29,–
Miscellaneous health technologists and technicians,119,"1,035",124,972
Other healthcare practitioners and technical occupations,80,"1,372",77,"1,359"
,,,,
Service occupations,"15,818",721,"15,468",697
Healthcare support occupations,"3,467",713,"3,348",685
Home health aides,330,644,357,618
Personal care aides,903,679,855,638
Nursing assistants,899,700,911,678
Orderlies and psychiatric aides,48,–,40,–
Occupational therapy assistants and aides,22,–,19,–
Physical therapist assistants and aides,75,909,50,847
Massage therapists,34,–,45,–
Dental assistants,235,754,250,724
Medical assistants,490,752,438,713
Medical transcriptionists,25,–,19,–
Pharmacy aides,20,–,29,–
Veterinary assistants and laboratory animal caretakers,67,720,52,696
Phlebotomists,133,730,93,751
Other healthcare support workers,187,833,190,829
Protective service occupations,"2,706","1,113","2,749","1,024"
First-line supervisors of correctional officers,59,"1,432",47,–
First-line supervisors of police and detectives,93,"1,800",96,"1,476"
First-line supervisors of firefighting and prevention workers,47,–,62,"1,769"
First-line supervisors of security workers,70,"1,033",70,"1,120"
"First-line supervisors of protective service workers, all other",3,–,2,–
Firefighters,297,"1,351",289,"1,356"
Fire inspectors,19,–,36,–
Bailiffs,12,–,19,–
Correctional officers and jailers,294,"1,073",279,907
Detectives and criminal investigators,132,"1,732",132,"1,704"
Fish and game wardens,5,–,9,–
Parking enforcement workers,7,–,6,–
Police officers,709,"1,320",758,"1,229"
Animal control workers,12,–,8,–
Private detectives and investigators,95,"1,326",85,"1,088"
Security guards and gambling surveillance officers,730,788,732,724
Crossing guards and flaggers,24,–,15,–
Transportation security screeners,45,–,35,–
School bus monitors,9,–,23,–
Other protective service workers,44,–,45,–
Food preparation and serving related occupations,"4,325",660,"4,125",622
Chefs and head cooks,391,816,392,771
First-line supervisors of food preparation and serving workers,432,728,362,731
Cooks,"1,259",655,"1,247",611
Food preparation workers,484,619,476,595
Bartenders,208,764,250,707
Fast food and counter workers,288,610,237,557
Waiters and waitresses,828,642,786,606
"Food servers, nonrestaurant",91,623,86,649
Dining room and cafeteria attendants and bartender helpers,132,593,94,594
Dishwashers,133,598,120,583
"Hosts and hostesses, restaurant, lounge, and coffee shop",73,594,70,611
"Food preparation and serving related workers, all other",7,–,5,–
Building and grounds cleaning and maintenance occupations,"3,520",692,"3,518",671
First-line supervisors of housekeeping and janitorial workers,177,896,152,833
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",93,928,94,895
Janitors and building cleaners,"1,505",696,"1,503",683
Maids and housekeeping cleaners,834,619,823,592
Pest control workers,90,848,90,798
Landscaping and groundskeeping workers,713,703,769,681
Tree trimmers and pruners,92,775,73,916
Other grounds maintenance workers,18,–,13,–
Personal care and service occupations,"1,799",725,"1,728",686
Supervisors of personal care and service workers,97,855,89,743
Animal trainers,31,–,23,–
Animal caretakers,161,704,144,623
Gambling services workers,66,893,53,890
"Ushers, lobby attendants, and ticket takers",7,–,9,–
Other entertainment attendants and related workers,87,707,92,686
"Embalmers, crematory operators, and funeral attendants",13,–,19,–
"Morticians, undertakers, and funeral arrangers",28,–,20,–
Barbers,69,655,48,–
"Hairdressers, hairstylists, and cosmetologists",239,740,274,679
Manicurists and pedicurists,197,772,178,677
Skincare specialists,46,–,33,–
Other personal appearance workers,11,–,13,–
"Baggage porters, bellhops, and concierges",67,676,66,702
Tour and travel guides,14,–,16,–
Childcare workers,379,635,413,606
Exercise trainers and group fitness instructors,71,956,57,815
Recreation workers,129,776,111,726
Residential advisors,17,–,16,–
"Personal care and service workers, all other",68,761,54,788
,,,,
Sales and office occupations,"21,667",923,"21,978",880
Sales and related occupations,"9,148","1,001","9,170",941
First-line supervisors of retail sales workers,"2,234",995,"2,174",948
First-line supervisors of non-retail sales workers,906,"1,345",869,"1,299"
Cashiers,"1,147",606,"1,243",587
Counter and rental clerks,64,801,60,751
Parts salespersons,89,769,102,855
Retail salespersons,"1,585",829,"1,535",802
Advertising sales agents,101,"1,442",105,"1,323"
Insurance sales agents,443,"1,081",438,"1,049"
"Securities, commodities, and financial services sales agents",184,"2,320",154,"1,710"
Travel agents,48,–,45,–
"Sales representatives of services, except advertising, insurance, financial services, and travel",577,"1,365",539,"1,489"
"Sales representatives, wholesale and manufacturing",999,"1,427","1,005","1,282"
"Models, demonstrators, and product promoters",10,–,15,–
Real estate brokers and sales agents,440,"1,363",512,"1,219"
Sales engineers,51,"1,918",46,–
Telemarketers,28,–,29,–
"Door-to-door sales workers, news and street vendors, and related workers",29,–,24,–
"Sales and related workers, all other",213,914,275,940
Office and administrative support occupations,"12,519",891,"12,808",847
First-line supervisors of office and administrative support workers,"1,038","1,114","1,090","1,037"
"Switchboard operators, including answering service",19,–,12,–
Telephone operators,11,–,28,–
"Communications equipment operators, all other",1,–,2,–
Bill and account collectors,84,809,92,821
Billing and posting clerks,391,826,442,854
"Bookkeeping, accounting, and auditing clerks",869,943,818,893
Gambling cage workers,22,–,17,–
Payroll and timekeeping clerks,119,"1,040",113,983
Procurement clerks,41,–,24,–
Tellers,163,721,164,708
"Financial clerks, all other",121,"1,078",124,"1,034"
Brokerage clerks,6,–,6,–
Correspondence clerks,3,–,6,–
"Court, municipal, and license clerks",84,928,73,816
"Credit authorizers, checkers, and clerks",25,–,43,–
Customer service representatives,"2,157",828,"2,097",808
"Eligibility interviewers, government programs",96,960,74,958
File Clerks,86,898,106,779
"Hotel, motel, and resort desk clerks",87,741,81,633
"Interviewers, except eligibility and loan",166,789,117,808
"Library assistants, clerical",33,–,32,–
Loan interviewers and clerks,128,931,158,965
New accounts clerks,17,–,14,–
Order clerks,66,734,84,782
"Human resources assistants, except payroll and timekeeping",71,988,80,"1,168"
Receptionists and information clerks,827,752,838,713
Reservation and transportation ticket agents and travel clerks,113,900,79,991
"Information and record clerks, all other",71,858,71,822
Cargo and freight agents,25,–,25,–
Couriers and messengers,547,853,523,807
Public safety telecommunicators,67,"1,013",76,802
"Dispatchers, except police, fire, and ambulance",156,898,161,861
"Meter readers, utilities",20,–,21,–
Postal service clerks,95,894,85,946
Postal service mail carriers,279,"1,130",275,"1,067"
"Postal service mail sorters, processors, and processing machine operators",58,904,63,911
"Production, planning, and expediting clerks",198,"1,334",204,"1,167"
"Shipping, receiving, and inventory clerks",555,811,576,772
"Weighers, measurers, checkers, and samplers, recordkeeping",59,843,41,–
Executive secretaries and executive administrative assistants,179,"1,272",210,"1,088"
Legal secretaries and administrative assistants,40,–,41,–
Medical secretaries and administrative assistants,80,909,64,853
"Secretaries and administrative assistants, except legal, medical, and executive","1,387",894,"1,518",836
Data entry keyers,185,814,192,798
Word processors and typists,33,–,32,–
Desktop publishers,1,–,1,–
Insurance claims and policy processing clerks,265,912,285,809
"Mail clerks and mail machine operators, except postal service",37,–,41,–
"Office clerks, general",926,828,959,776
"Office machine operators, except computer",15,–,17,–
Proofreaders and copy markers,4,–,5,–
Statistical assistants,14,–,13,–
"Office and administrative support workers, all other",380,"1,007",494,925
,,,,
"Natural resources, construction, and maintenance occupations","11,368","1,001","11,386",965
"Farming, fishing, and forestry occupations",731,689,762,645
"First-line supervisors of farming, fishing, and forestry workers",59,907,38,–
Agricultural inspectors,24,–,16,–
Animal breeders,9,–,3,–
"Graders and sorters, agricultural products",39,–,36,–
Miscellaneous agricultural workers,542,662,604,634
Fishing and hunting workers,7,–,10,–
Forest and conservation workers,18,–,12,–
Logging workers,33,–,43,–
Construction and extraction occupations,"6,517",985,"6,406",943
First-line supervisors of construction trades and extraction workers,537,"1,373",521,"1,227"
Boilermakers,14,–,10,–
"Brickmasons, blockmasons, and stonemasons",76,850,71,"1,009"
Carpenters,942,928,866,884
"Carpet, floor, and tile installers and finishers",67,924,99,786
"Cement masons, concrete finishers, and terrazzo workers",48,–,59,876
Construction laborers,"1,572",858,"1,636",826
Construction equipment operators,353,"1,113",351,"1,038"
"Drywall installers, ceiling tile installers, and tapers",90,812,120,829
Electricians,813,"1,195",784,"1,116"
Glaziers,28,–,28,–
Insulation workers,61,"1,079",51,748
Painters and paperhangers,389,810,402,747
Pipelayers,46,–,44,–
"Plumbers, pipefitters, and steamfitters",546,"1,063",485,"1,078"
Plasterers and stucco masons,22,–,23,–
Reinforcing iron and rebar workers,10,–,6,–
Roofers,187,804,127,786
Sheet metal workers,112,"1,096",123,992
Structural iron and steel workers,37,–,59,"1,170"
Solar photovoltaic installers,14,–,25,–
"Helpers, construction trades",49,–,42,–
